sourceId, foundPos,foundPosId, placeRank, placeRatio, ratio1, ratio2, ratio3, params
117, 0.00, 1, 1, 0.00, 0.00, 0.00, 0.00, [250: 20 ]
117, 0.05, 117, 0, 0.05, 0.00, 0.00, 0.05, [250: 20 ]
117, 0.10, 117, 0, 0.10, 0.00, 0.00, 0.10, [250: 20 ]
117, 0.15, 117, 0, 0.15, 0.00, 0.00, 0.15, [250: 20 ]
117, 0.20, 117, 0, 0.20, 0.00, 0.00, 0.20, [250: 20 ]
117, 0.25, 117, 0, 0.25, 0.00, 0.00, 0.25, [250: 20 ]
117, 0.30, 117, 0, 0.30, 0.00, 0.00, 0.30, [250: 20 ]
117, 0.35, 117, 0, 0.35, 0.00, 0.00, 0.35, [250: 20 ]
117, 0.40, 117, 0, 0.40, 0.00, 0.00, 0.40, [250: 20 ]
117, 0.45, 117, 0, 0.45, 0.00, 0.00, 0.45, [250: 20 ]
117, 0.50, 117, 0, 0.50, 0.00, 0.00, 0.50, [250: 20 ]
117, 0.55, 117, 0, 0.55, 0.00, 0.00, 0.55, [250: 20 ]
117, 0.60, 117, 0, 0.60, 0.00, 0.00, 0.60, [250: 20 ]
117, 0.65, 117, 0, 0.65, 0.00, 0.00, 0.65, [250: 20 ]
117, 0.70, 117, 0, 0.70, 0.00, 0.00, 0.70, [250: 20 ]
117, 0.75, 117, 0, 0.75, 0.00, 0.00, 0.75, [250: 20 ]
117, 0.80, 117, 0, 0.80, 0.00, 0.00, 0.80, [250: 20 ]
117, 0.85, 117, 0, 0.85, 0.00, 0.00, 0.85, [250: 20 ]
117, 0.90, 117, 0, 0.90, 0.00, 0.00, 0.90, [250: 20 ]
117, 0.95, 117, 0, 0.95, 0.00, 0.00, 0.95, [250: 20 ]
117, 0.05, 1, -1, -1.00, 0.00, 0.05, 0.00, [250: 20 ]
117, 0.10, 117, 0, 0.10, 0.00, 0.05, 0.05, [250: 20 ]
117, 0.15, 117, 0, 0.15, 0.00, 0.05, 0.10, [250: 20 ]
117, 0.20, 117, 0, 0.20, 0.00, 0.05, 0.15, [250: 20 ]
117, 0.25, 117, 0, 0.25, 0.00, 0.05, 0.20, [250: 20 ]
117, 0.30, 117, 0, 0.30, 0.00, 0.05, 0.25, [250: 20 ]
117, 0.35, 117, 0, 0.35, 0.00, 0.05, 0.30, [250: 20 ]
117, 0.40, 117, 0, 0.40, 0.00, 0.05, 0.35, [250: 20 ]
117, 0.45, 117, 0, 0.45, 0.00, 0.05, 0.40, [250: 20 ]
117, 0.50, 117, 0, 0.50, 0.00, 0.05, 0.45, [250: 20 ]
117, 0.55, 117, 0, 0.55, 0.00, 0.05, 0.50, [250: 20 ]
117, 0.60, 117, 0, 0.60, 0.00, 0.05, 0.55, [250: 20 ]
117, 0.65, 117, 0, 0.65, 0.00, 0.05, 0.60, [250: 20 ]
117, 0.70, 117, 0, 0.70, 0.00, 0.05, 0.65, [250: 20 ]
117, 0.75, 117, 0, 0.75, 0.00, 0.05, 0.70, [250: 20 ]
117, 0.80, 117, 0, 0.80, 0.00, 0.05, 0.75, [250: 20 ]
117, 0.85, 117, 0, 0.85, 0.00, 0.05, 0.80, [250: 20 ]
117, 0.90, 117, 0, 0.90, 0.00, 0.05, 0.85, [250: 20 ]
117, 0.95, 117, 0, 0.95, 0.00, 0.05, 0.90, [250: 20 ]
117, 0.10, 1, -1, -1.00, 0.00, 0.10, 0.00, [250: 20 ]
117, 0.15, 117, 0, 0.15, 0.00, 0.10, 0.05, [250: 20 ]
117, 0.20, 117, 0, 0.20, 0.00, 0.10, 0.10, [250: 20 ]
117, 0.25, 117, 0, 0.25, 0.00, 0.10, 0.15, [250: 20 ]
117, 0.30, 117, 0, 0.30, 0.00, 0.10, 0.20, [250: 20 ]
117, 0.35, 117, 0, 0.35, 0.00, 0.10, 0.25, [250: 20 ]
117, 0.40, 117, 0, 0.40, 0.00, 0.10, 0.30, [250: 20 ]
117, 0.45, 117, 0, 0.45, 0.00, 0.10, 0.35, [250: 20 ]
117, 0.50, 117, 0, 0.50, 0.00, 0.10, 0.40, [250: 20 ]
117, 0.55, 117, 0, 0.55, 0.00, 0.10, 0.45, [250: 20 ]
117, 0.60, 117, 0, 0.60, 0.00, 0.10, 0.50, [250: 20 ]
117, 0.65, 117, 0, 0.65, 0.00, 0.10, 0.55, [250: 20 ]
117, 0.70, 117, 0, 0.70, 0.00, 0.10, 0.60, [250: 20 ]
117, 0.75, 117, 0, 0.75, 0.00, 0.10, 0.65, [250: 20 ]
117, 0.80, 117, 0, 0.80, 0.00, 0.10, 0.70, [250: 20 ]
117, 0.85, 117, 0, 0.85, 0.00, 0.10, 0.75, [250: 20 ]
117, 0.90, 117, 0, 0.90, 0.00, 0.10, 0.80, [250: 20 ]
117, 0.95, 117, 0, 0.95, 0.00, 0.10, 0.85, [250: 20 ]
