sourceId, foundPos,foundPosId, placeRank, placeRatio, ratio1, ratio2, ratio3, params
49, 0.00, 1, 1, 0.00, 0.00, 0.00, 0.00, [100: 90 ]
49, 0.05, 47, 2, 0.04, 0.00, 0.00, 0.05, [100: 90 ]
49, 0.10, 47, 2, 0.08, 0.00, 0.00, 0.10, [100: 90 ]
49, 0.15, 47, 2, 0.12, 0.00, 0.00, 0.15, [100: 90 ]
49, 0.20, 47, 2, 0.16, 0.00, 0.00, 0.20, [100: 90 ]
49, 0.25, 47, 2, 0.20, 0.00, 0.00, 0.25, [100: 90 ]
49, 0.30, 47, 2, 0.24, 0.00, 0.00, 0.30, [100: 90 ]
49, 0.35, 47, 2, 0.28, 0.00, 0.00, 0.35, [100: 90 ]
49, 0.40, 47, 2, 0.32, 0.00, 0.00, 0.40, [100: 90 ]
49, 0.45, 47, 2, 0.36, 0.00, 0.00, 0.45, [100: 90 ]
49, 0.50, 47, 2, 0.40, 0.00, 0.00, 0.50, [100: 90 ]
49, 0.55, 47, 2, 0.44, 0.00, 0.00, 0.55, [100: 90 ]
49, 0.60, 47, 2, 0.48, 0.00, 0.00, 0.60, [100: 90 ]
49, 0.65, 47, 2, 0.52, 0.00, 0.00, 0.65, [100: 90 ]
49, 0.70, 47, 2, 0.56, 0.00, 0.00, 0.70, [100: 90 ]
49, 0.75, 47, 2, 0.60, 0.00, 0.00, 0.75, [100: 90 ]
49, 0.80, 47, 2, 0.64, 0.00, 0.00, 0.80, [100: 90 ]
49, 0.85, 47, 2, 0.68, 0.00, 0.00, 0.85, [100: 90 ]
49, 0.90, 47, 2, 0.72, 0.00, 0.00, 0.90, [100: 90 ]
49, 0.95, 47, 2, 0.76, 0.00, 0.00, 0.95, [100: 90 ]
49, 0.05, 3, -1, -1.00, 0.00, 0.05, 0.00, [100: 90 ]
49, 0.08, 47, 2, 0.08, 0.00, 0.05, 0.05, [100: 90 ]
49, 0.14, 47, 2, 0.12, 0.00, 0.05, 0.10, [100: 90 ]
49, 0.19, 47, 2, 0.16, 0.00, 0.05, 0.15, [100: 90 ]
49, 0.24, 47, 2, 0.20, 0.00, 0.05, 0.20, [100: 90 ]
49, 0.29, 47, 2, 0.24, 0.00, 0.05, 0.25, [100: 90 ]
49, 0.33, 47, 2, 0.28, 0.00, 0.05, 0.30, [100: 90 ]
49, 0.38, 47, 2, 0.32, 0.00, 0.05, 0.35, [100: 90 ]
49, 0.43, 47, 2, 0.36, 0.00, 0.05, 0.40, [100: 90 ]
49, 0.48, 47, 2, 0.40, 0.00, 0.05, 0.45, [100: 90 ]
49, 0.53, 47, 2, 0.44, 0.00, 0.05, 0.50, [100: 90 ]
49, 0.59, 47, 2, 0.48, 0.00, 0.05, 0.55, [100: 90 ]
49, 0.64, 47, 2, 0.52, 0.00, 0.05, 0.60, [100: 90 ]
49, 0.69, 47, 2, 0.56, 0.00, 0.05, 0.65, [100: 90 ]
49, 0.74, 47, 2, 0.60, 0.00, 0.05, 0.70, [100: 90 ]
49, 0.79, 47, 2, 0.64, 0.00, 0.05, 0.75, [100: 90 ]
