sourceId, foundPos,foundPosId, placeRank, placeRatio, ratio1, ratio2, ratio3, params
41, 0.00, 1, -1, -1.00, 0.00, 0.00, 0.00, [250: 20 ]
41, 0.04, 19, 9, 0.02, 0.00, 0.00, 0.05, [250: 20 ]
41, 0.08, 19, 9, 0.03, 0.00, 0.00, 0.10, [250: 20 ]
41, 0.12, 19, 9, 0.05, 0.00, 0.00, 0.15, [250: 20 ]
41, 0.16, 19, 9, 0.06, 0.00, 0.00, 0.20, [250: 20 ]
41, 0.20, 19, 9, 0.08, 0.00, 0.00, 0.25, [250: 20 ]
41, 0.24, 19, 9, 0.09, 0.00, 0.00, 0.30, [250: 20 ]
41, 0.28, 19, 9, 0.11, 0.00, 0.00, 0.35, [250: 20 ]
41, 0.32, 19, 9, 0.12, 0.00, 0.00, 0.40, [250: 20 ]
41, 0.36, 19, 9, 0.14, 0.00, 0.00, 0.45, [250: 20 ]
41, 0.40, 19, 9, 0.15, 0.00, 0.00, 0.50, [250: 20 ]
41, 0.44, 19, 9, 0.17, 0.00, 0.00, 0.55, [250: 20 ]
41, 0.48, 19, 9, 0.18, 0.00, 0.00, 0.60, [250: 20 ]
41, 0.53, 19, 9, 0.20, 0.00, 0.00, 0.65, [250: 20 ]
41, 0.57, 19, 9, 0.22, 0.00, 0.00, 0.70, [250: 20 ]
41, 0.61, 19, 9, 0.23, 0.00, 0.00, 0.75, [250: 20 ]
41, 0.65, 19, 9, 0.25, 0.00, 0.00, 0.80, [250: 20 ]
41, 0.69, 19, 9, 0.26, 0.00, 0.00, 0.85, [250: 20 ]
41, 0.73, 19, 9, 0.28, 0.00, 0.00, 0.90, [250: 20 ]
41, 0.77, 19, 9, 0.29, 0.00, 0.00, 0.95, [250: 20 ]
41, 0.05, 6, 22, 0.04, 0.00, 0.05, 0.00, [250: 20 ]
41, 0.06, 41, 0, 0.06, 0.00, 0.05, 0.05, [250: 20 ]
41, 0.09, 103, 5, 0.07, 0.00, 0.05, 0.10, [250: 20 ]
41, 0.13, 19, 7, 0.09, 0.00, 0.05, 0.15, [250: 20 ]
41, 0.17, 19, 7, 0.11, 0.00, 0.05, 0.20, [250: 20 ]
41, 0.22, 19, 7, 0.12, 0.00, 0.05, 0.25, [250: 20 ]
41, 0.26, 19, 7, 0.14, 0.00, 0.05, 0.30, [250: 20 ]
41, 0.30, 19, 7, 0.15, 0.00, 0.05, 0.35, [250: 20 ]
41, 0.34, 19, 7, 0.17, 0.00, 0.05, 0.40, [250: 20 ]
41, 0.38, 19, 7, 0.18, 0.00, 0.05, 0.45, [250: 20 ]
41, 0.42, 19, 7, 0.20, 0.00, 0.05, 0.50, [250: 20 ]
41, 0.46, 19, 7, 0.21, 0.00, 0.05, 0.55, [250: 20 ]
41, 0.50, 19, 8, 0.23, 0.00, 0.05, 0.60, [250: 20 ]
41, 0.54, 19, 9, 0.24, 0.00, 0.05, 0.65, [250: 20 ]
41, 0.58, 19, 9, 0.26, 0.00, 0.05, 0.70, [250: 20 ]
41, 0.62, 19, 9, 0.27, 0.00, 0.05, 0.75, [250: 20 ]
41, 0.66, 19, 9, 0.29, 0.00, 0.05, 0.80, [250: 20 ]
41, 0.70, 19, 9, 0.31, 0.00, 0.05, 0.85, [250: 20 ]
41, 0.74, 19, 9, 0.32, 0.00, 0.05, 0.90, [250: 20 ]
41, 0.10, 6, 22, 0.09, 0.00, 0.10, 0.00, [250: 20 ]
41, 0.10, 24, 1, 0.10, 0.00, 0.10, 0.05, [250: 20 ]
41, 0.12, 41, 0, 0.12, 0.00, 0.10, 0.10, [250: 20 ]
41, 0.15, 103, 4, 0.13, 0.00, 0.10, 0.15, [250: 20 ]
41, 0.19, 103, 5, 0.15, 0.00, 0.10, 0.20, [250: 20 ]
41, 0.23, 103, 6, 0.16, 0.00, 0.10, 0.25, [250: 20 ]
41, 0.27, 19, 7, 0.18, 0.00, 0.10, 0.30, [250: 20 ]
41, 0.31, 19, 7, 0.20, 0.00, 0.10, 0.35, [250: 20 ]
41, 0.35, 19, 7, 0.21, 0.00, 0.10, 0.40, [250: 20 ]
41, 0.39, 19, 7, 0.23, 0.00, 0.10, 0.45, [250: 20 ]
41, 0.43, 19, 7, 0.24, 0.00, 0.10, 0.50, [250: 20 ]
41, 0.47, 19, 7, 0.26, 0.00, 0.10, 0.55, [250: 20 ]
41, 0.51, 19, 7, 0.27, 0.00, 0.10, 0.60, [250: 20 ]
41, 0.55, 19, 7, 0.29, 0.00, 0.10, 0.65, [250: 20 ]
41, 0.59, 19, 7, 0.30, 0.00, 0.10, 0.70, [250: 20 ]
41, 0.63, 19, 7, 0.32, 0.00, 0.10, 0.75, [250: 20 ]
41, 0.67, 19, 7, 0.33, 0.00, 0.10, 0.80, [250: 20 ]
41, 0.71, 19, 7, 0.35, 0.00, 0.10, 0.85, [250: 20 ]
41, 0.15, 6, 22, 0.13, 0.00, 0.15, 0.00, [250: 20 ]
41, 0.15, 24, 22, 0.15, 0.00, 0.15, 0.05, [250: 20 ]
41, 0.16, 41, 0, 0.16, 0.00, 0.15, 0.10, [250: 20 ]
41, 0.18, 41, 0, 0.18, 0.00, 0.15, 0.15, [250: 20 ]
41, 0.21, 103, 3, 0.19, 0.00, 0.15, 0.20, [250: 20 ]
41, 0.24, 103, 4, 0.21, 0.00, 0.15, 0.25, [250: 20 ]
41, 0.28, 103, 5, 0.22, 0.00, 0.15, 0.30, [250: 20 ]
41, 0.32, 103, 6, 0.24, 0.00, 0.15, 0.35, [250: 20 ]
41, 0.36, 103, 6, 0.25, 0.00, 0.15, 0.40, [250: 20 ]
41, 0.40, 19, 7, 0.27, 0.00, 0.15, 0.45, [250: 20 ]
41, 0.44, 19, 7, 0.29, 0.00, 0.15, 0.50, [250: 20 ]
41, 0.48, 19, 7, 0.30, 0.00, 0.15, 0.55, [250: 20 ]
41, 0.52, 19, 7, 0.32, 0.00, 0.15, 0.60, [250: 20 ]
41, 0.56, 19, 7, 0.33, 0.00, 0.15, 0.65, [250: 20 ]
41, 0.60, 19, 7, 0.35, 0.00, 0.15, 0.70, [250: 20 ]
41, 0.65, 19, 7, 0.36, 0.00, 0.15, 0.75, [250: 20 ]
41, 0.69, 19, 7, 0.38, 0.00, 0.15, 0.80, [250: 20 ]
41, 0.20, 6, 22, 0.18, 0.00, 0.20, 0.00, [250: 20 ]
41, 0.20, 24, 22, 0.19, 0.00, 0.20, 0.05, [250: 20 ]
41, 0.21, 24, 1, 0.21, 0.00, 0.20, 0.10, [250: 20 ]
41, 0.22, 41, 0, 0.22, 0.00, 0.20, 0.15, [250: 20 ]
41, 0.24, 41, 0, 0.24, 0.00, 0.20, 0.20, [250: 20 ]
41, 0.26, 103, 2, 0.25, 0.00, 0.20, 0.25, [250: 20 ]
41, 0.30, 103, 4, 0.27, 0.00, 0.20, 0.30, [250: 20 ]
41, 0.34, 103, 4, 0.28, 0.00, 0.20, 0.35, [250: 20 ]
41, 0.38, 103, 5, 0.30, 0.00, 0.20, 0.40, [250: 20 ]
41, 0.42, 103, 5, 0.31, 0.00, 0.20, 0.45, [250: 20 ]
41, 0.46, 103, 6, 0.33, 0.00, 0.20, 0.50, [250: 20 ]
41, 0.50, 103, 6, 0.34, 0.00, 0.20, 0.55, [250: 20 ]
41, 0.54, 19, 7, 0.36, 0.00, 0.20, 0.60, [250: 20 ]
41, 0.58, 19, 7, 0.38, 0.00, 0.20, 0.65, [250: 20 ]
41, 0.62, 19, 7, 0.39, 0.00, 0.20, 0.70, [250: 20 ]
41, 0.66, 19, 7, 0.41, 0.00, 0.20, 0.75, [250: 20 ]
41, 0.25, 6, 22, 0.22, 0.00, 0.25, 0.00, [250: 20 ]
41, 0.25, 24, 22, 0.23, 0.00, 0.25, 0.05, [250: 20 ]
41, 0.26, 24, 22, 0.25, 0.00, 0.25, 0.10, [250: 20 ]
41, 0.26, 41, 0, 0.26, 0.00, 0.25, 0.15, [250: 20 ]
41, 0.28, 41, 0, 0.28, 0.00, 0.25, 0.20, [250: 20 ]
41, 0.30, 41, 0, 0.30, 0.00, 0.25, 0.25, [250: 20 ]
41, 0.32, 103, 1, 0.31, 0.00, 0.25, 0.30, [250: 20 ]
41, 0.36, 103, 4, 0.33, 0.00, 0.25, 0.35, [250: 20 ]
41, 0.39, 103, 4, 0.34, 0.00, 0.25, 0.40, [250: 20 ]
41, 0.43, 103, 4, 0.36, 0.00, 0.25, 0.45, [250: 20 ]
41, 0.47, 103, 5, 0.37, 0.00, 0.25, 0.50, [250: 20 ]
41, 0.51, 103, 5, 0.39, 0.00, 0.25, 0.55, [250: 20 ]
41, 0.55, 103, 6, 0.40, 0.00, 0.25, 0.60, [250: 20 ]
41, 0.59, 103, 6, 0.42, 0.00, 0.25, 0.65, [250: 20 ]
41, 0.63, 103, 6, 0.43, 0.00, 0.25, 0.70, [250: 20 ]
41, 0.30, 6, 22, 0.26, 0.00, 0.30, 0.00, [250: 20 ]
41, 0.30, 24, 22, 0.28, 0.00, 0.30, 0.05, [250: 20 ]
41, 0.31, 24, 22, 0.29, 0.00, 0.30, 0.10, [250: 20 ]
41, 0.31, 24, 1, 0.31, 0.00, 0.30, 0.15, [250: 20 ]
41, 0.32, 41, 0, 0.32, 0.00, 0.30, 0.20, [250: 20 ]
41, 0.34, 41, 0, 0.34, 0.00, 0.30, 0.25, [250: 20 ]
41, 0.35, 41, 0, 0.35, 0.00, 0.30, 0.30, [250: 20 ]
41, 0.37, 103, 1, 0.37, 0.00, 0.30, 0.35, [250: 20 ]
41, 0.41, 103, 3, 0.39, 0.00, 0.30, 0.40, [250: 20 ]
41, 0.45, 103, 4, 0.40, 0.00, 0.30, 0.45, [250: 20 ]
41, 0.49, 103, 4, 0.42, 0.00, 0.30, 0.50, [250: 20 ]
41, 0.53, 103, 5, 0.43, 0.00, 0.30, 0.55, [250: 20 ]
41, 0.57, 103, 5, 0.45, 0.00, 0.30, 0.60, [250: 20 ]
41, 0.61, 103, 5, 0.46, 0.00, 0.30, 0.65, [250: 20 ]
41, 0.35, 6, 22, 0.31, 0.00, 0.35, 0.00, [250: 20 ]
41, 0.35, 24, 22, 0.32, 0.00, 0.35, 0.05, [250: 20 ]
41, 0.36, 24, 22, 0.34, 0.00, 0.35, 0.10, [250: 20 ]
41, 0.36, 24, 22, 0.35, 0.00, 0.35, 0.15, [250: 20 ]
41, 0.37, 41, 0, 0.37, 0.00, 0.35, 0.20, [250: 20 ]
41, 0.38, 41, 0, 0.38, 0.00, 0.35, 0.25, [250: 20 ]
41, 0.40, 41, 0, 0.40, 0.00, 0.35, 0.30, [250: 20 ]
41, 0.41, 41, 0, 0.41, 0.00, 0.35, 0.35, [250: 20 ]
41, 0.43, 41, 0, 0.43, 0.00, 0.35, 0.40, [250: 20 ]
41, 0.47, 103, 3, 0.44, 0.00, 0.35, 0.45, [250: 20 ]
41, 0.51, 103, 4, 0.46, 0.00, 0.35, 0.50, [250: 20 ]
41, 0.54, 103, 4, 0.48, 0.00, 0.35, 0.55, [250: 20 ]
41, 0.58, 103, 4, 0.49, 0.00, 0.35, 0.60, [250: 20 ]
41, 0.40, 6, 22, 0.35, 0.00, 0.40, 0.00, [250: 20 ]
41, 0.40, 24, 22, 0.37, 0.00, 0.40, 0.05, [250: 20 ]
41, 0.41, 24, 22, 0.38, 0.00, 0.40, 0.10, [250: 20 ]
41, 0.41, 24, 22, 0.40, 0.00, 0.40, 0.15, [250: 20 ]
41, 0.41, 24, 1, 0.41, 0.00, 0.40, 0.20, [250: 20 ]
41, 0.43, 41, 0, 0.43, 0.00, 0.40, 0.25, [250: 20 ]
41, 0.44, 41, 0, 0.44, 0.00, 0.40, 0.30, [250: 20 ]
41, 0.46, 41, 0, 0.46, 0.00, 0.40, 0.35, [250: 20 ]
41, 0.47, 41, 0, 0.47, 0.00, 0.40, 0.40, [250: 20 ]
41, 0.49, 41, 0, 0.49, 0.00, 0.40, 0.45, [250: 20 ]
41, 0.52, 103, 2, 0.50, 0.00, 0.40, 0.50, [250: 20 ]
41, 0.56, 103, 4, 0.52, 0.00, 0.40, 0.55, [250: 20 ]
41, 0.45, 6, 22, 0.39, 0.00, 0.45, 0.00, [250: 20 ]
41, 0.45, 24, 22, 0.41, 0.00, 0.45, 0.05, [250: 20 ]
